state_id,district_id,project_type,land_area,affected_families,acquisition_stage,last_updated,delay_risk,delay_months
bihar,muzaffarpur,airport,136.94,231,possession,2025-01-23,0,2.6
chhattisgarh,durg,highway,84.03,67,notification,2025-12-19,1,6.1
rajasthan,kota,airport,387.93,692,possession,2024-03-12,1,9.0
bihar,muzaffarpur,irrigation,55.51,20,possession,2026-03-20,0,0.3
bihar,muzaffarpur,power,136.33,234,possession,2024-12-17,0,2.2
chhattisgarh,korba,railway,11.21,30,award,2025-06-09,0,4.7
odisha,ganjam,industrial,190.39,40,possession,2026-04-19,0,0.3
uttar-pradesh,kanpur-nagar,irrigation,89.21,72,award,2026-06-24,0,1.0
uttar-pradesh,kanpur-nagar,power,13.07,25,award,2025-01-07,0,3.4
bihar,muzaffarpur,railway,268.34,395,possession,2025-10-16,0,4.2
maharashtra,aurangabad,irrigation,274.36,540,negotiation,2025-07-03,1,5.7
jharkhand,jamshedpur,power,10.03,9,notification,2024-09-19,0,3.3
west-bengal,darjeeling,power,5.18,14,possession,2024-12-29,0,3.2
uttar-pradesh,prayagraj,power,398.89,333,notification,2025-12-11,1,6.6
odisha,khordha,highway,478.1,85,award,2024-12-08,0,4.0
odisha,puri,airport,442.52,406,negotiation,2024-05-27,1,7.8
west-bengal,howrah,irrigation,413.25,542,notification,2025-01-31,1,11.7
chhattisgarh,durg,railway,389.19,328,award,2025-07-01,1,9.4
west-bengal,kolkata,irrigation,402.13,335,negotiation,2026-01-29,1,7.5
madhya-pradesh,gwalior,irrigation,178.02,322,notification,2025-04-06,1,6.3
maharashtra,aurangabad,airport,263.19,470,negotiation,2025-07-23,1,9.1
madhya-pradesh,jabalpur,industrial,275.0,229,notification,2024-12-14,1,8.1
uttar-pradesh,varanasi,industrial,105.62,81,negotiation,2024-02-14,0,1.7
chhattisgarh,raipur,railway,380.27,681,negotiation,2024-07-17,1,11.2
maharashtra,nagpur,airport,46.45,55,award,2026-08-09,0,1.2
chhattisgarh,bilaspur,power,366.63,581,possession,2025-12-31,1,5.5
assam,nagaon,highway,457.68,778,possession,2025-09-16,1,10.0
bihar,darbhanga,industrial,174.98,211,possession,2025-01-04,0,0.6
jharkhand,bokaro,irrigation,161.18,89,possession,2024-12-17,0,1.4
rajasthan,kota,power,421.6,346,notification,2026-04-29,1,6.4
madhya-pradesh,gwalior,highway,461.23,157,notification,2025-05-29,1,6.7
assam,silchar,airport,30.54,26,possession,2026-02-22,0,0.6
west-bengal,howrah,irrigation,136.63,136,possession,2026-08-29,0,0.5
jharkhand,bokaro,highway,95.19,23,notification,2025-05-23,0,3.3
madhya-pradesh,gwalior,industrial,237.8,273,notification,2026-06-10,1,7.4
west-bengal,howrah,industrial,234.39,433,notification,2026-03-03,1,6.8
maharashtra,pune,highway,117.65,214,possession,2024-10-18,0,3.2
madhya-pradesh,gwalior,highway,26.49,13,possession,2024-06-17,0,2.5
rajasthan,jaipur,highway,383.11,716,negotiation,2024-11-06,1,8.1
jharkhand,jamshedpur,railway,266.27,87,award,2025-07-12,0,4.3
chhattisgarh,durg,railway,319.57,277,notification,2024-04-23,1,6.2
bihar,darbhanga,power,261.06,104,possession,2024-07-18,0,0.2
rajasthan,kota,airport,455.46,109,negotiation,2024-01-12,1,5.9
odisha,puri,industrial,25.71,54,notification,2025-12-16,0,4.3
maharashtra,nagpur,highway,144.86,196,notification,2024-08-05,1,6.2
chhattisgarh,raipur,irrigation,394.11,394,award,2024-08-15,1,5.3
chhattisgarh,korba,power,198.09,397,negotiation,2026-06-08,1,9.5
bihar,muzaffarpur,railway,366.95,674,possession,2024-05-04,1,8.4
jharkhand,bokaro,industrial,225.29,178,notification,2024-08-06,1,6.8
odisha,khordha,airport,298.45,215,notification,2026-03-10,1,10.8
rajasthan,jodhpur,railway,67.44,67,possession,2024-06-15,0,0.3
uttar-pradesh,varanasi,airport,77.47,78,notification,2025-11-08,0,3.8
odisha,khordha,airport,61.62,89,negotiation,2025-11-15,1,7.0
bihar,muzaffarpur,power,409.37,229,negotiation,2024-12-15,0,4.7
madhya-pradesh,bhopal,irrigation,149.38,209,notification,2026-03-16,0,4.9
rajasthan,jaipur,airport,59.61,37,notification,2024-05-08,1,6.6
chhattisgarh,raipur,industrial,458.5,904,award,2025-01-11,1,10.7
west-bengal,howrah,power,303.31,231,notification,2026-03-30,1,9.0
west-bengal,kolkata,irrigation,44.54,74,award,2024-11-29,0,3.7
jharkhand,ranchi,irrigation,202.54,284,negotiation,2024-07-29,1,6.2
west-bengal,malda,power,328.47,385,award,2024-06-16,0,4.3
odisha,khordha,highway,383.36,704,notification,2024-06-14,1,11.5
rajasthan,ajmer,railway,72.51,106,notification,2024-10-03,1,5.5
uttar-pradesh,prayagraj,highway,457.76,363,notification,2025-02-24,1,6.4
uttar-pradesh,gorakhpur,highway,334.78,115,notification,2024-10-20,1,8.3
maharashtra,aurangabad,railway,51.32,17,notification,2026-08-12,1,5.6
jharkhand,jamshedpur,highway,411.04,144,negotiation,2025-03-01,1,5.8
rajasthan,kota,airport,69.17,120,possession,2025-07-02,0,2.8
maharashtra,aurangabad,railway,414.89,92,possession,2024-05-04,0,2.4
assam,nagaon,highway,320.86,366,notification,2026-06-15,1,8.0
maharashtra,nashik,industrial,496.57,681,award,2024-10-18,1,8.7
rajasthan,jodhpur,railway,27.26,8,possession,2024-06-23,0,0.4
bihar,darbhanga,railway,227.24,445,notification,2025-08-06,1,9.8
